"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","1,302.55","1,294.85","1,307.69","1,293.59","","0.60%"
"12/28/2017","1,294.84","1,287.31","1,295.30","1,286.66","","0.58%"
"12/27/2017","1,287.41","1,283.64","1,289.40","1,281.46","","0.32%"
"12/26/2017","1,283.29","1,274.91","1,283.77","1,273.25","","0.63%"
"12/25/2017","1,275.24","1,275.24","1,275.24","1,275.24","","0.02%"
"12/22/2017","1,275.01","1,267.12","1,276.38","1,265.10","","0.65%"
"12/21/2017","1,266.76","1,265.62","1,268.97","1,263.02","","0.09%"
"12/20/2017","1,265.62","1,261.69","1,267.84","1,261.23","","0.31%"
"12/19/2017","1,261.72","1,261.70","1,265.26","1,258.97","","0.00%"
"12/18/2017","1,261.69","1,253.79","1,264.37","1,252.68","","0.51%"
"12/15/2017","1,255.26","1,252.83","1,261.89","1,251.94","","0.19%"
"12/14/2017","1,252.85","1,255.54","1,259.18","1,249.92","","-0.21%"
"12/13/2017","1,255.45","1,243.88","1,256.95","1,240.06","","0.93%"
"12/12/2017","1,243.85","1,242.25","1,246.62","1,236.31","","0.15%"
"12/11/2017","1,241.96","1,247.28","1,251.67","1,240.19","","-0.50%"
"12/08/2017","1,248.14","1,247.34","1,252.66","1,244.34","","0.12%"
"12/07/2017","1,246.70","1,264.26","1,264.82","1,244.11","","-1.36%"
"12/06/2017","1,263.94","1,266.62","1,269.32","1,262.39","","-0.21%"
"12/05/2017","1,266.55","1,276.54","1,277.41","1,261.11","","-0.76%"
"12/04/2017","1,276.23","1,272.93","1,277.24","1,271.80","","-0.31%"
"12/01/2017","1,280.26","1,274.29","1,289.58","1,271.58","","0.43%"
"11/30/2017","1,274.76","1,283.88","1,285.70","1,270.51","","-0.69%"
"11/29/2017","1,283.57","1,293.90","1,296.75","1,281.98","","-0.81%"
"11/28/2017","1,294.01","1,294.85","1,297.74","1,291.01","","-0.04%"
"11/27/2017","1,294.50","1,288.57","1,299.20","1,286.47","","0.49%"
"11/24/2017","1,288.22","1,291.51","1,293.61","1,286.15","","-0.23%"
"11/23/2017","1,291.25","1,292.40","1,293.46","1,287.46","","-0.07%"
"11/22/2017","1,292.12","1,280.38","1,294.75","1,278.77","","0.91%"
"11/21/2017","1,280.48","1,276.70","1,284.87","1,276.08","","0.30%"
"11/20/2017","1,276.70","1,292.68","1,294.80","1,274.92","","-1.37%"
"11/17/2017","1,294.37","1,278.44","1,297.04","1,277.94","","1.24%"
"11/16/2017","1,278.47","1,278.47","1,281.60","1,274.98","","-0.03%"
"11/15/2017","1,278.80","1,281.00","1,289.47","1,277.04","","-0.15%"
"11/14/2017","1,280.71","1,278.17","1,283.68","1,270.64","","0.21%"
"11/13/2017","1,277.99","1,275.16","1,280.22","1,274.29","","0.14%"
"11/10/2017","1,276.14","1,285.21","1,287.16","1,273.33","","-0.71%"
"11/09/2017","1,285.30","1,281.62","1,288.72","1,280.09","","0.31%"
"11/08/2017","1,281.30","1,275.85","1,287.52","1,275.23","","0.45%"
"11/07/2017","1,275.53","1,281.82","1,281.97","1,271.68","","-0.47%"
"11/06/2017","1,281.55","1,269.49","1,283.01","1,266.05","","0.92%"
"11/03/2017","1,269.85","1,276.80","1,279.74","1,265.55","","-0.48%"
"11/02/2017","1,275.99","1,274.91","1,284.49","1,273.64","","0.13%"
"11/01/2017","1,274.39","1,270.88","1,281.25","1,267.98","","0.22%"
"10/31/2017","1,271.58","1,276.29","1,278.36","1,268.01","","-0.37%"
"10/30/2017","1,276.24","1,273.59","1,279.29","1,268.80","","0.23%"
"10/27/2017","1,273.35","1,268.07","1,274.80","1,264.10","","0.49%"
"10/26/2017","1,267.11","1,277.56","1,282.80","1,265.69","","-0.81%"
"10/25/2017","1,277.41","1,276.85","1,280.39","1,271.03","","0.05%"
"10/24/2017","1,276.72","1,282.01","1,284.06","1,273.43","","-0.42%"
"10/23/2017","1,282.07","1,277.45","1,283.66","1,272.24","","0.11%"
"10/20/2017","1,280.72","1,289.57","1,291.47","1,277.88","","-0.70%"
"10/19/2017","1,289.79","1,281.25","1,290.69","1,276.61","","0.67%"
"10/18/2017","1,281.17","1,285.18","1,289.08","1,277.13","","-0.31%"
"10/17/2017","1,285.19","1,295.32","1,296.66","1,281.69","","-0.74%"
"10/16/2017","1,294.74","1,303.88","1,306.80","1,291.01","","-0.78%"
"10/13/2017","1,304.88","1,293.73","1,304.88","1,291.04","","0.87%"
